tconst,directors,writers
tt0002130,"nm0078205,nm0655824,nm0209738",nm0019604
tt0002423,nm0523932,"nm0266183,nm0473134"
tt0002844,nm0275421,"nm0019855,nm0275421,nm0816232"
tt0003014,nm0803705,"nm0472236,nm0803705"
tt0003037,nm0275421,"nm0019855,nm0275421,nm0816232"
tt0003165,nm0275421,"nm0019855,nm0275421,nm0816232"
tt0003419,"nm0263912,nm0753233","nm0263912,nm0210503"
tt0003643,nm0000428,"nm0000590,nm0000428"
tt0003740,nm0665163,"nm0195339,nm0515385,nm0665163,nm0758215"
tt0003772,nm0456804,nm0674518
tt0003930,nm0275421,"nm0019855,nm0275421,nm0816232"
tt0003952,nm0275421,"nm0019855,nm0275421,nm0816232"
tt0004026,"nm0917467,nm0301961","nm0917467,nm0301961"
tt0004181,nm0000428,"nm0017701,nm0000428,nm1106102,nm0940488"
tt0004465,"nm0309163,nm0533289","nm0323766,nm0225458,nm0782707,nm0589616"
tt0004635,"nm0002177,nm0001124","nm0747409,nm0001124,nm0002177"
tt0004707,"nm0784407,nm0071658","nm0215874,nm0404327,nm0784407,nm1100197,nm0808086"
tt0004972,nm0000428,"nm0228746,nm0000428,nm0940488,nm0934306,nm16280870,nm16280871"
tt0005060,nm0001124,"nm0617737,nm0210352"
tt0005078,nm0001124,"nm0877318,nm0534221"
tt0005339,nm0288616,"nm0115063,nm0456017,nm0564946"
tt0005916,nm0061955,"nm0061955,nm0877057"
tt0005960,nm0909825,"nm0452976,nm0909825,nm0361882,nm0352506"
tt0006206,nm0275421,nm0275421
tt0006333,nm0665737,"nm0894523,nm0665737"
tt0006780,"nm0842521,nm0366586,nm0807742",nm0837989
tt0006864,nm0000428,"nm0048512,nm0115218,nm0000428,nm0002616,nm0640437,nm1578667,nm0940488"
tt0006886,nm0275421,"nm0077220,nm0275421"
tt0008443,nm0869665,"nm0309557,nm0547966"
tt0008663,nm0803705,"nm0406585,nm0596410,nm0803705"
tt0008879,nm0803705,"nm0803705,nm0039377,nm2642082"
tt0008891,nm0869665,"nm0535508,nm0537510"
tt0009150,nm0000428,nm0000428
tt0009369,"nm0428059,nm0949648","nm0215874,nm0370271"
tt0009652,nm0624714,"nm0516810,nm0547966"
tt0009878,nm0652650,"nm0386589,nm0652650"
tt0009892,nm0002177,"nm0546295,nm0309568,nm0152165"
tt0009893,nm0523932,"nm0473134,nm0523932"
tt0009937,nm0002233,"nm0002233,nm0239769"
tt0009968,nm0000428,"nm0121885,nm0000428"
tt0010040,nm0624714,"nm0916914,nm0426515"
tt0010071,nm0001124,nm0534221
tt0010247,nm0830249,"nm0481248,nm0596410,nm0830249"
tt0010267,nm0291548,"nm0513680,nm0566338"
tt0010281,nm0523932,"nm0473134,nm0523932"
tt0010307,nm0304098,nm0304098
tt0010323,nm0927468,"nm0562346,nm0417917"
tt0010418,nm0001124,"nm0534221,nm0057381"
tt0010598,nm0003433,"nm0003433,nm0291908"
tt0010600,nm0523932,"nm0006782,nm0473134,nm0523932,nm0932559"
tt0010726,nm0000485,nm0000485
tt0010806,nm0000428,nm0294026
tt0011000,nm0003433,"nm0406094,nm0179740,nm0003433"
tt0011130,nm0731910,"nm0829044,nm0073238,nm0838370,nm0928492"
tt0011157,nm0830249,"nm0378772,nm0596410,nm0635245,nm0830249"
tt0011221,nm0927468,nm0562346
tt0011237,"nm0917467,nm0091380","nm0917467,nm0301961"
tt0011387,"nm0113284,nm0869665","nm0178126,nm0227062"
tt0011439,nm0629243,"nm0191547,nm0001196,nm1491939"
tt0011565,nm0941637,"nm0606563,nm0448981,nm0518844"
tt0011607,nm0003433,"nm0003433,nm0418114"
tt0011652,"nm0085133,nm0810367","nm0397167,nm0544579,nm0558923,nm0810367"
tt0011723,nm0000485,nm0000485
tt0011841,nm0000428,"nm0662461,nm0103755,nm0342604,nm0446189,nm0000428"
tt0011865,nm0001124,"nm0697880,nm0210352,nm0184632"
tt0011870,nm0584778,nm0584778
tt0011904,nm0941637,"nm0606563,nm0927851"
tt0011909,nm0001124,"nm0774217,nm0534221"
tt0011960,nm0523932,"nm0473134,nm0523932"
tt0012027,nm0806605,"nm0241414,nm0558923"
tt0012190,nm0002271,"nm0087658,nm0558923"
tt0012349,nm0000122,nm0000122
tt0012364,nm0803705,"nm0481248,nm0803705"
tt0012494,nm0000485,"nm0000485,nm0902376"
tt0012532,nm0000428,"nm0257866,nm0180077,nm0000428"
tt0012642,nm0628345,"nm0730018,nm0853130,nm0369841,nm0907778"
tt0012651,nm0003638,"nm0833695,nm0562346"
tt0012675,nm0577654,"nm0401423,nm0441601"
tt0012752,nm0629243,"nm0241416,nm0461241,nm0940689,nm0001196"
tt0012763,nm0454771,"nm0378947,nm0332539,nm0454771"
tt0012938,nm0939992,"nm0323325,nm0192325"
tt0012952,"nm0629243,nm0002188","nm0087658,nm0193704,nm0558923"
tt0013075,"nm0628345,nm0853130","nm0730018,nm0853130,nm0369841,nm0907778,nm0188274"
tt0013086,nm0000485,"nm0415167,nm0902376,nm0000485"
tt0013140,nm0002233,"nm0002233,nm0014703,nm0031033"
tt0013201,nm0628345,"nm0730018,nm0853130,nm0369841,nm0907778,nm0188274,nm0516001"
tt0013257,nm0159725,nm0159725
tt0013427,nm0280904,"nm0280878,nm0280904"
tt0013442,nm0003638,"nm0831290,nm0301961"
tt0013496,nm0003638,"nm0369458,nm0902376,nm0903145"
tt0013556,nm0245385,"nm0001196,nm0202617,nm0245385,nm0461241,nm0940689"
tt0013571,"nm0117065,nm0623417","nm0928492,nm0623417,nm0708118"
tt0013579,nm0733208,"nm0336057,nm0733208,nm0774012"
tt0013750,nm0897085,"nm0715564,nm0538186,nm0495461"
tt0013933,nm0258477,"nm0258477,nm0258506"
tt0014029,nm0428059,"nm0566338,nm0784407"
tt0014109,nm0830249,"nm0405147,nm0481248,nm0830249"
tt0014142,nm0941637,"nm0401076,nm0790622,nm0522871,nm0730929"
tt0014205,nm0646058,"nm0949995,nm0715564"
tt0014341,"nm0090007,nm0000036","nm0369841,nm0115669,nm0593477"
tt0014358,nm0000122,nm0000122
tt0014417,nm0304098,nm0304098
tt0014429,"nm0628345,nm0853130","nm0730018,nm0853130,nm0924065,nm0907778,nm0369841,nm0516001"
tt0014497,nm0400912,nm0400912
tt0014532,nm0001124,nm0534221
tt0014538,"nm0166836,nm0000036","nm0115669,nm0593477,nm0369841,nm0000036"
tt0014586,"nm0083532,nm0501902",nm0301961
tt0014611,"nm0628345,nm0853130","nm0853130,nm0928514,nm0924065,nm0907778"
tt0014624,nm0000122,nm0000122
tt0014646,nm0698839,"nm0265777,nm0652974,nm0866238"
tt0014945,"nm0628345,nm0853130","nm0853130,nm0928514,nm0924065,nm0336984,nm0516001"
tt0014972,nm0803705,"nm0028916,nm0933133,nm0803705,nm0014703"
tt0015002,"nm0628345,nm0853130","nm0853130,nm0340599,nm0924065,nm0336984"
tt0015014,nm0478303,"nm2526424,nm0478303,nm0495693,nm0241409"
tt0015016,nm0000406,"nm0448981,nm0751246,nm0201544"
tt0015039,nm0895048,nm0895048
tt0015064,nm0003638,nm0562346
tt0015116,nm0245385,"nm0878338,nm1738735,nm0834553,nm0425456"
tt0015119,nm0523932,"nm0075960,nm0773083"
tt0015136,nm0003433,"nm0051911,nm0902376,nm0003433"
tt0015163,"nm0187981,nm0000036","nm0115669,nm0593477,nm0369841"
tt0015167,nm0474487,"nm0038595,nm0699877"
tt0015174,nm0000485,nm0902376
tt0015175,nm0000485,"nm0000485,nm0902376"
tt0015202,nm0927468,"nm0626326,nm0719165"
tt0015214,nm0163229,nm0163229
tt0015224,nm0107543,"nm0057381,nm0325135"
tt0015324,nm0000036,"nm0369841,nm0593477,nm0115669"
tt0015361,nm0001178,"nm0017893,nm0001178,nm0470402,nm0687244"
tt0015400,nm0909825,"nm0940689,nm0001196,nm0008280,nm0640884"
tt0015532,"nm0718201,nm0002569",nm0718201
tt0015624,"nm0896542,nm0384276","nm0821716,nm0066946,nm0267868,nm0896542"
tt0015634,nm0584778,nm0584778
tt0015648,nm0001178,"nm0012810,nm0001178,nm0017893,nm0038595,nm0872308"
tt0015768,nm0003433,"nm0003433,nm0727484"
tt0015772,nm0113284,"nm0701090,nm0547938,nm0473134"
tt0015841,"nm0628345,nm0853130","nm0853130,nm0928514,nm0340599,nm0924065,nm0336984,nm0516001"
tt0015842,nm0655065,"nm0079278,nm0352026,nm1680388"
tt0015863,nm0000036,"nm0000036,nm0623640,nm0134252"
tt0015864,nm0000122,nm0000122
tt0015873,"nm0178260,nm0774325","nm0142579,nm0708920"
tt0015881,nm0002233,"nm0558923,nm0002233,nm0635805,nm0267868"
tt0016004,nm0523932,"nm0928492,nm0430756,nm0298494,nm0516737"
tt0016028,nm0064415,"nm0681933,nm0521002,nm0510024,nm0573743"
tt0016029,nm0124877,"nm0175902,nm0426531,nm0124877"
tt0016039,nm0398464,"nm0236279,nm0265572"
tt0016104,nm0002233,"nm0002233,nm0322227,nm0529618,nm0825551,nm0006167,nm0014703"
tt0016123,nm0922327,"nm0922327,nm0928108,nm0533102,nm0448978,nm0837989"
tt0016220,"nm0432216,nm0151606,nm0480677,nm0781292","nm0503693,nm0031033,nm0165470,nm0566338,nm0566439,nm0715723,nm0775419,nm0908831,nm1541473"
tt0016230,nm0000033,"nm0822627,nm0054123"
tt0016332,nm0000036,"nm0576362,nm0115669,nm0369841,nm0593477"
tt0016394,nm0245385,"nm0010973,nm0357028,nm0491789"
tt0016473,nm0115218,"nm0730317,nm0950150"
tt0016481,nm0243295,"nm0390586,nm0243295"
tt0016544,nm0783865,"nm0000875,nm0062091,nm0497736,nm0783865"
tt0016627,nm0896542,"nm0754581,nm0267913,nm0014703,nm0191956"
tt0016630,nm0000036,"nm0809548,nm0090213,nm0807667,nm0623640,nm0109209,nm0577650"
tt0016641,"nm0629243,nm0102643,nm0127511,nm0169905,nm0002271","nm0908753,nm0558923,nm0933133,nm0385012,nm0129721"
tt0016654,nm0662032,"nm0001196,nm0192325"
tt0016669,nm0896542,"nm0208691,nm0613860,nm0175902,nm0191956"
tt0016690,nm0176699,"nm0949995,nm0829330,nm0950224,nm0267868"
tt0016822,nm0337586,"nm0503777,nm0341185,nm0547938,nm0175902,nm0687566"
tt0016847,nm0003638,"nm0369458,nm0477515,nm0324473"
tt0016884,nm0113284,"nm0322227,nm0837183,nm0014703,nm0473134,nm0756226"
tt0016895,nm0853130,"nm0928514,nm0340599,nm0115669,nm0817809"
tt0017048,nm0455938,"nm0442704,nm0455938,nm0409467,nm2396540,nm1273449"
tt0017075,nm0000033,"nm0523269,nm0822627,nm0000033"
tt0017128,nm0699877,"nm0331003,nm0953515"
tt0017136,nm0000485,"nm0902376,nm0000485"
tt0017271,nm0474487,"nm0474487,nm0518711,nm0794531"
tt0017350,nm0803705,"nm0370426,nm0547966"
tt0017416,nm0280463,"nm0401423,nm0547966,nm0208691,nm0547938,nm0809548"
tt0017423,"nm0064415,nm0573743","nm0242802,nm0547938,nm0837989"
tt0017448,nm0003638,"nm0596942,nm0562346"
tt0017449,"nm0629243,nm0830249","nm0087658,nm0267913,nm0014703"
tt0017463,nm0000406,"nm0924268,nm0831958,nm0817809,nm0102167"
tt0017534,nm0781292,"nm0775419,nm0267868"
tt0017668,nm0752193,"nm0562346,nm0752193,nm0005713"
tt0017739,nm0501902,"nm0929616,nm0384616,nm0169879,nm0031033,nm0002771"
tt0017743,"nm0178260,nm0774325","nm0008280,nm0178260,nm0774325"
tt0017765,"nm0395023,nm0000036","nm0361882,nm0289381"
tt0017825,nm0000033,"nm0171887,nm0637040,nm0822627"
tt0017843,nm0000033,"nm0002021,nm0822627"
tt0017925,"nm0115669,nm0000036","nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548"
tt0017961,nm0575963,nm0575963
tt0018033,"nm0046082,nm0903049","nm0323325,nm0521002,nm0510024,nm0547938"
tt0018037,nm0189076,"nm0710723,nm0169879,nm0418772"
tt0018051,"nm0928514,nm0516001,nm0587277,nm0397834","nm0340599,nm0928514,nm0188274,nm0623640,nm0337914"
tt0018054,nm0001124,nm0534221
tt0018066,"nm0699877,nm0231151",nm0953515
tt0018097,nm0115218,"nm0115218,nm0950150,nm0267868"
tt0018107,"nm0332539,nm0318105","nm0866243,nm0014703,nm0191956,nm0600641"
tt0018192,nm0304098,nm0304098
tt0018217,"nm0017893,nm0001178","nm0001178,nm0017893,nm0715487"
tt0018311,nm0000779,"nm0547966,nm0378636,nm0089342,nm0267868"
tt0018328,nm0000033,"nm0000033,nm0720904"
tt0018379,nm0097648,"nm0834944,nm0322227,nm0385012,nm0129721,nm0615868"
tt0018440,nm0781292,"nm0204608,nm0493071,nm0506797,nm0817809"
tt0018451,"nm0523932,nm0821472","nm6753657,nm0014703,nm0191956,nm0232704,nm0583431"
tt0018455,nm0003638,"nm0562346,nm0837183,nm0385012,nm0129721"
tt0018471,nm0384276,"nm0770337,nm0267868"
tt0018505,nm0740282,"nm0794531,nm0740282"
tt0018515,nm0587277,"nm0810290,nm0306875,nm0569213,nm0547938"
tt0018526,"nm0903049,nm0744504","nm0299153,nm0001328,nm0372942,nm0498133,nm0547938,nm0903049"
tt0018528,nm0115218,"nm0115218,nm0950150,nm0267868,nm0727497"
tt0018578,"nm0920074,nm0195496","nm0766850,nm0521002,nm0510024,nm0425456,nm0604526"
tt0018618,nm0631438,"nm0930082,nm0788082,nm0267868,nm0821716"
tt0018684,nm0920074,"nm0322227,nm0876432"
tt0018737,nm0655065,"nm0917149,nm0883335,nm0281567,nm0655065"
tt0018742,"nm0781292,nm0000036","nm0115669,nm0513858,nm0267868,nm0090213,nm0604526"
tt0018756,nm0000033,"nm0000033,nm0616601,nm0822627"
tt0018770,nm0258477,"nm0000590,nm0000320,nm0258477"
tt0018773,nm0000122,nm0000122
tt0018806,nm0896542,"nm0896542,nm0915875,nm0267868,nm0066946"
tt0018839,nm0903049,"nm0299154,nm0766850,nm0425456"
tt0018876,nm0000033,"nm0035199,nm0000033,nm0402855,nm0497961,nm0680914,nm0822627"
tt0019071,nm0903049,"nm0083742,nm0329312,nm0523932,nm0542534,nm0903049"
tt0019074,nm0107543,"nm0067584,nm0193704,nm0267868,nm0576035"
tt0019109,nm0270838,"nm0656264,nm0522871,nm0715723"
tt0019130,nm0501902,"nm0401076,nm0018470,nm0031033,nm0572610,nm0911709,nm0926417"
tt0019195,nm0629243,"nm0938282,nm0580648,nm0014703,nm0191956,nm0547966"
tt0019237,nm0064600,"nm0522674,nm0014703,nm0191956"
tt0019254,nm0003433,"nm0217865,nm0003433"
tt0019258,nm0896542,"nm0175194,nm0817809"
tt0019286,nm0699877,"nm0109283,nm0637210"
tt0019304,nm0587277,"nm0179993,nm0028636,nm0592217,nm0066946"
tt0019344,nm0909825,"nm0560857,nm0909825,nm0837989,nm0173303,nm0709888"
tt0019379,nm0896542,"nm0426515,nm0821716,nm0817809"
tt0019400,nm0176699,"nm0604526,nm0696788,nm0394267"
tt0019412,nm0928514,"nm0340599,nm0623640,nm0736911,nm0090213,nm0218626,nm0397834,nm0809548"
tt0019415,nm0000485,"nm0902376,nm0000485"
tt0019421,"nm0718469,nm0000036","nm0361882,nm0000036"
tt0019429,nm0097648,"nm0388743,nm0458934,nm0843364"
tt0019558,nm0002233,"nm0139714,nm0002233"
tt0019563,nm0115218,"nm0165470,nm0212240,nm0267868,nm0330370,nm0950150"
tt0019585,nm0803705,"nm0547966,nm0769090,nm0173303"
tt0019591,nm0113284,"nm0035158,nm0014703,nm0191956"
tt0019611,nm0235590,"nm3715261,nm0879235,nm0235590"
tt0019644,nm0541149,"nm0113103,nm0287124"
tt0019646,nm0478303,"nm0478303,nm0077220,nm0957652"
tt0019649,nm0235590,nm0235590
tt0019655,nm0562004,"nm0562004,nm0844459,nm0889172"
tt0019702,nm0000033,"nm0071657,nm0000033,nm0506349,nm0003836"
tt0019729,nm0064600,"nm0332539,nm0396876,nm0322299,nm0049898"
tt0019735,nm0428059,"nm0573937,nm0397608"
tt0019760,nm0895048,nm0895048
tt0019777,"nm0282984,nm0763798","nm0442151,nm0753452"
tt0019788,nm0853130,"nm0007973,nm0108697,nm0340599,nm0573865,nm0853130"
tt0019811,nm0631438,"nm0627454,nm0886861,nm0325135,nm0092015,nm0014703,nm0191956"
tt0019823,nm0337586,"nm0430756,nm0030860,nm0662462"
tt0019901,nm0000485,"nm0902376,nm0000485"
tt0019946,"nm0190516,nm0002233","nm0372942,nm0001890"
tt0019959,nm0896542,"nm0875746,nm0770337,nm0725823,nm0896542,nm0014703"
tt0019993,"nm0718469,nm0127511,nm0396876","nm0090213,nm0394267,nm0267868"
tt0020018,"nm0191899,nm0909825","nm0377958,nm0058179,nm0809548"
tt0020030,nm0245385,"nm0940689,nm0001196,nm0241416,nm0192325,nm0195503,nm0245385,nm0724863,nm0733997"
tt0020062,nm0275494,"nm0767683,nm0473134,nm0014703"
tt0020112,nm0523932,"nm0883328,nm0093397,nm0944351,nm0151249"
tt0020122,nm0097648,"nm0095732,nm0129721,nm0385012,nm0397022,nm0876811"
tt0020142,nm0000033,"nm0128991,nm0822627"
tt0020143,nm0502752,"nm0886861,nm0821716,nm0881148,nm0267868"
tt0020163,"nm0802563,nm0880618,nm0322843,nm0802561,nm0003593","nm0000697,nm0802561,nm0802563,nm0880618"
tt0020269,nm0243295,nm0071596
tt0020286,nm0652302,"nm0657176,nm0123761,nm0432653"
tt0020298,"nm0002233,nm0092915","nm0002233,nm0014703,nm0322227"
tt0020442,"nm0781292,nm0000036","nm0513858,nm0656039,nm0394267"
tt0020451,"nm0017893,nm0001178","nm0017893,nm0001178"
tt0020475,nm0655065,"nm0127060,nm0503025"
tt0020514,nm0332539,nm0332539
tt0020570,"nm0266691,nm0655065","nm0266691,nm0883335"
tt0020620,nm0000428,"nm0070948,nm0175908,nm0515990"
tt0020629,nm0587277,"nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277"
tt0020640,nm0373511,"nm0442151,nm0753452,nm0436095,nm0748438"
tt0020641,nm0113284,"nm0547966,nm0642156"
tt0020668,nm0922327,"nm0727497,nm0394479,nm0922327"
tt0020686,"nm0384276,nm0934980","nm0547966,nm0267868,nm0281331"
tt0020691,"nm0909825,nm0517264","nm0263346,nm0102293,nm0668685,nm0692891,nm0909825"
tt0020697,nm0903049,"nm0542777,nm0958454,nm0901629,nm0509510,nm0903049,nm0935567"
tt0020768,nm0003638,"nm0504443,nm0896826,nm0651000,nm0129721,nm0385012"
tt0020793,nm0002190,"nm0696920,nm0002190"
tt0020815,nm0001328,"nm0766850,nm0869371,nm0001328,nm0589316,nm0011485"
tt0020827,nm0502752,"nm0663624,nm0342417,nm0780803,nm0576046"
tt0020836,nm0562845,"nm0114602,nm0742523"
tt0020876,"nm0115669,nm0516001","nm0340599,nm0169879,nm0115669,nm0012148,nm0623640,nm0809548"
tt0020891,nm0064600,"nm0548403,nm0817809,nm0090213,nm0394267"
tt0020902,nm0781292,"nm0770337,nm0225469,nm0090213"
tt0020960,"nm0400652,nm0332539,nm0001843","nm0624714,nm0545309,nm0261455,nm0066946"
tt0021015,nm0000033,"nm0639997,nm0000033,nm0720904"
tt0021025,"nm0026960,nm0487237","nm0750822,nm0522871,nm0531269"
tt0021040,nm0001008,"nm0343228,nm0842485"
tt0021079,nm0503777,"nm0122446,nm0267020,nm0498133,nm0520501,nm0953123"
tt0021106,nm0001124,"nm0534221,nm0881148,nm0417646"
tt0021128,nm0000033,"nm0199304,nm0433288,nm0458283,nm0720904,nm0801026"
tt0021148,nm0384276,"nm0600641,nm0547966,nm0413821"
tt0021153,nm0523932,"nm0883328,nm0618169,nm0850483,nm0840091,nm0493071"
tt0021156,nm0903049,"nm0299154,nm0897109"
tt0021165,nm0000033,"nm0199304,nm0801026,nm0000033,nm0616601,nm0720904"
tt0021189,nm0896542,"nm0442151,nm0175091,nm0562372,nm0628339"
tt0021281,"nm0280463,nm0195496","nm0395216,nm0397608,nm0696078"
tt0021309,"nm0823089,nm0823088","nm0634113,nm0635163,nm0724858,nm0823089,nm0823088,nm0324473"
tt0021310,nm0113284,"nm0791017,nm0580648,nm0562372"
tt0021331,nm0168413,nm0168413
tt0021375,nm0895048,\N
tt0021409,nm0163229,nm0163229
tt0021505,nm0176699,nm0730317
tt0021508,nm0000406,"nm0914362,nm0000406,nm0171874"
tt0021542,nm0655065,"nm0423745,nm0883335,nm0483849"
tt0021549,nm0293260,"nm0570305,nm0205244,nm0175902,nm0205363,nm0711657"
tt0021571,nm0235590,nm0235590
tt0021577,nm0000320,"nm0000320,nm0198557,nm0211381"
tt0021622,nm0000406,"nm0507760,nm0397608"
tt0021633,nm0502752,"nm0139321,nm0425615,nm0547966"
tt0021635,nm0097648,"nm0217568,nm0549217,nm0121667,nm0796766"
tt0021636,nm0377126,"nm0850483,nm0775419,nm0715723,nm0461348"
tt0021668,nm0532187,"nm0081788,nm0822219,nm0175194,nm0458934,nm0629580"
tt0021673,nm0215877,"nm0321891,nm0109148"
tt0021730,nm0896542,"nm0875746,nm0549905"
tt0021739,nm0719756,"nm0478579,nm0719756,nm0320630,nm0610207"
tt0021746,nm0749484,"nm0272209,nm0261455,nm0765037"
tt0021749,nm0000122,"nm0000122,nm0139714,nm0188357"
tt0021750,nm0541149,"nm0358591,nm0545730,nm0308177"
tt0021770,nm0001328,"nm0281331,nm0629240,nm0589316"
tt0021778,nm0064600,"nm0746168,nm0001076"
tt0021800,nm0903049,"nm0748034,nm0903049"
tt0021814,"nm0115218,nm0005713","nm0831290,nm0213019,nm0049721,nm0287124,nm0111313,nm0115218,nm0169606,nm0614225,nm0826873,nm0828574"
tt0021815,nm0577654,"nm0831290,nm0273239,nm0049721,nm0213019,nm0287124,nm0614225"
tt0021818,nm0655065,"nm0106517,nm0486797,nm0883335,nm0049462,nm0124470,nm0560955,nm0826100"
tt0021873,nm0503777,"nm0919380,nm0604526,nm0520501"
tt0021874,nm0502752,"nm0403595,nm0950224"
tt0021884,nm0001843,"nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246"
tt0021885,nm0113284,"nm0820700,nm0306731,nm0242957,nm0267913,nm0528351,nm0533102"
tt0021890,nm0587277,"nm0372942,nm0531269,nm0179993,nm0496468"
tt0021985,nm0782804,"nm0639130,nm0951866"
tt0021992,nm0562845,"nm0280223,nm0728307,nm0857710"
tt0022000,nm0564970,"nm0221865,nm0114095,nm0376575,nm0564970"
tt0022017,nm0655065,"nm3673346,nm0353035,nm0483849,nm0653118,nm0710888,nm0883335,nm3673289"
tt0022054,nm0226189,nm0766850
tt0022074,nm0523932,"nm0883328,nm0710723,nm0414885,nm0618169,nm0233791,nm0523932"
tt0022080,nm0670643,nm0670643
tt0022100,nm0000485,"nm0902376,nm0000485,nm0414825"
tt0022111,nm0215877,"nm0358591,nm0298494,nm0391763,nm0399203"
tt0022119,"nm0908831,nm0329066",nm0542534
tt0022125,nm0466099,nm0656528
tt0022150,nm0163229,"nm0077278,nm0347058,nm0163229"
tt0022153,nm0001008,"nm0842485,nm0576046,nm0728307"
tt0022158,nm0572851,"nm0673279,nm0426953,nm0790654,nm0790383,nm5030661"
tt0022183,"nm0755985,nm0296193","nm0935475,nm0198887,nm0171372"
tt0022208,nm0920074,"nm0673948,nm0308177,nm0448981"
tt0022236,nm0920074,"nm0298494,nm0920465"
tt0022251,nm0663613,"nm0907778,nm0001316,nm0491048,nm0663613,nm0736778"
tt0022254,nm0781292,"nm0068087,nm0841608,nm0394267"
tt0022264,nm0731910,"nm0503693,nm0562372,nm0576046"
tt0022268,nm0001008,"nm0151310,nm0161428,nm0728307,nm0842485"
tt0022276,nm0113284,"nm0783629,nm0168829"
tt0022279,nm0291548,"nm0002021,nm0473134,nm0770337"
tt0022286,nm0920074,"nm0321891,nm0109148,nm0857710"
tt0022335,nm0920074,"nm0104355,nm0413711,nm0298494"
tt0022357,nm0384276,nm0547966
tt0022386,nm0783629,"nm0461241,nm0372942,nm0531269"
tt0022395,nm0000033,"nm0303335,nm0000033,nm0720904"
tt0022397,nm0851537,"nm0591791,nm0189034,nm0000581,nm0572851,nm0549905"
tt0022403,nm0337586,"nm0321891,nm0109148,nm0399203,nm0413711"
tt0022436,nm0896542,nm0723418
tt0022453,nm0502752,"nm0075960,nm0168829,nm0186118,nm0280223,nm0306731,nm0330390,nm0446403,nm0545309,nm0548403,nm0680345,nm0780803,nm0875746,nm0892045,nm0896542"
tt0022454,nm0562845,"nm0238900,nm0018470"
tt0022458,nm0003638,"nm0003638,nm0280904,nm0880618"
tt0022485,nm0654868,"nm0457560,nm0633792"
tt0022489,nm0503777,"nm0369036,nm0369038,nm0369093,nm0883328"
tt0022495,nm0886754,"nm0507180,nm0886861,nm0627454,nm0770337,nm0401738,nm0394791"
tt0022550,nm0001843,"nm0792845,nm0506349,nm0715723"
tt0022599,nm0163229,nm0163229
tt0022626,"nm0001008,nm0245385,nm0624756",nm0728307
tt0022628,"nm0341486,nm0002030","nm0413590,nm0058129,nm0341486,nm0820700"
tt0022639,nm0176699,"nm0495728,nm0188544,nm0168829,nm0892045,nm0933133"
tt0022651,nm0821472,"nm0403595,nm0499628,nm0823395,nm0288706,nm0372942"
tt0022660,nm0102643,"nm0122446,nm0372942,nm0536941"
tt0022685,nm0002030,"nm0261455,nm0340799,nm0199304"
tt0022689,nm0896542,"nm0876445,nm0740537,nm0875746,nm0695292"
tt0022694,"nm0726166,nm0049462","nm0049462,nm0562346,nm2446045,nm0726166"
tt0022698,nm0903049,"nm0299154,nm0491076,nm0903049"
tt0022700,nm0332539,"nm0547966,nm0002616,nm0817809"
tt0022718,nm0719756,"nm0268988,nm0719756,nm0884152"
tt0022725,nm0523932,"nm0744565,nm0075351,nm0710723,nm0883328"
tt0022735,nm0002031,"nm0338233,nm0472049"
tt0022753,"nm0580017,nm0890085","nm0175194,nm0458934,nm0247440,nm0646163,nm0604959,nm0093397,nm0454513,nm0781895"
tt0022775,nm0920074,"nm0594594,nm0520501,nm0064595,nm0371771,nm0488295"
tt0022787,nm0076368,"nm0076368,nm0233593,nm0485676"
tt0022792,nm0001328,"nm0109148,nm0124002,nm0321891,nm0001328,nm0589316"
tt0022802,nm0337586,"nm0413711,nm0594594,nm0855850,nm0953123"
tt0022827,nm0002031,"nm0850927,nm0049898,nm0174106,nm0587867,nm0742523"
tt0022834,nm0068419,"nm0318105,nm0168829,nm0048758"
tt0022835,nm0541149,"nm0388755,nm0372698,nm0829044"
tt0022854,nm0113284,"nm0547966,nm0695292,nm0780803"
tt0022867,nm0532561,"nm0394750,nm0394746,nm0462949,nm0532561"
tt0022877,nm0002165,nm0656528
tt0022879,nm0097648,"nm0322227,nm0308177,nm0002133,nm0821716"
tt0022905,nm0001008,"nm0001008,nm0842485"
tt0022913,nm0115218,"nm0730317,nm0325135,nm0330390,nm0090213,nm0531269,nm0941138"
tt0022958,nm0332539,"nm0062139,nm0237033,nm0049462,nm0941138"
tt0022991,nm0383304,"nm0383304,nm0304321,nm0649913"
tt0023027,nm0572851,"nm0436095,nm0748438,nm0673279,nm0426953,nm0790654"
tt0023028,nm0782682,"nm0589316,nm0522674,nm0545309,nm0272646"
tt0023042,nm0503777,"nm0122859,nm0337914,nm0391763,nm0316807"
tt0023049,"nm0190516,nm0401680,nm0523932,nm0572851,nm0731596,nm0782682,nm0851537,nm0578985","nm0028826,nm0083125,nm0093456,nm0102167,nm0109148,nm0118227,nm0170660,nm0206010,nm0214668,nm0308177,nm0309567,nm0523932,nm0533110,nm0000581,nm0574112,nm0817035,nm0428177"
tt0023074,nm0226189,"nm0312510,nm0283780,nm0088602"
tt0023101,nm0184738,"nm0330390,nm0212240,nm0330370"
